,dt_duration_seconds,dt_end,dt_start,fit_batch_size,fit_num_classes,fit_num_epochs,fit_stopped_early,fit_stopper_patience,fit_test_acc,fit_train_acc,fit_train_loss,fit_val_acc,fit_val_loss,id,model_architecture,model_dropout,model_layer_1_sizefactor,model_layer_2_sizefactor,model_layer_3_sizefactor,model_num_features,model_sequence_length,param_count,pretrained_model_name,pretrained_model_pooling,shape_x_test,shape_y_train
109,40,2018-12-16 15:29:58,2018-12-16 15:29:17,32,2,5,True,5,0.9207920792079208,0.8704042250175871,0.3216901401872439,0.9112169770463404,0.30344890174849204,64,MLP,0.5,2,8,8,1536,1,1365506,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
186,91,2018-12-16 19:23:17,2018-12-16 19:21:46,32,2,4,True,5,0.939799331103679,0.868216260495597,0.3223364456920455,0.9109083005056751,0.3043274429636072,250,MLP,0.5,8,8,0,1536,3,3687746,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
1,82,2018-12-16 17:08:52,2018-12-16 17:07:30,32,2,8,True,5,0.8662207357859532,0.838828588982183,0.3725781114361898,0.9104737071356842,0.3431779473488976,166,MLP,0.5,2,0,4,1536,3,3541250,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
34,63,2018-12-16 17:30:51,2018-12-16 17:29:48,32,2,2,True,5,0.9364548494983278,0.8481466311693631,0.35456000726052833,0.9104737069025499,0.3295399805790753,181,MLP,0.2,2,4,4,1536,3,3983618,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
131,90,2018-12-16 18:48:13,2018-12-16 18:46:43,32,2,6,True,5,0.8929765886287625,0.872414499271021,0.310717071113395,0.9104737068507424,0.26552724315647663,229,MLP,0.2,8,0,4,1536,3,3541250,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
226,36,2018-12-16 15:20:04,2018-12-16 15:19:28,32,2,6,True,5,0.9240924092409241,0.8825919155592166,0.2953284161920933,0.9103508012384602,0.2580951332736191,50,MLP,0.5,2,4,0,1536,1,1476482,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
194,307,2018-12-16 21:33:51,2018-12-16 21:28:44,32,2,5,True,10,0.8394648829431438,0.821318861355724,0.4070777549939934,0.9096045195408771,0.3855721889138999,268,LSTM,0.5,1,2,2,1536,3,20653058,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
290,36,2018-12-16 15:55:36,2018-12-16 15:54:59,32,2,4,True,5,0.9207920792079208,0.8549664838392028,0.3346601350324899,0.9094846254047659,0.3032716574633777,99,MLP,0.2,8,0,2,1536,1,1181954,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
32,33,2018-12-16 15:03:50,2018-12-16 15:03:16,32,2,6,True,5,0.933993399339934,0.8856388381673823,0.2937269392456438,0.9094846253789519,0.2859108336447327,22,MLP,0.5,1,4,4,1536,1,1624322,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
53,35,2018-12-16 15:10:22,2018-12-16 15:09:46,32,2,9,True,5,0.834983498349835,0.8459272801621813,0.3470083102084456,0.9094846253789519,0.3033705162971037,34,MLP,0.5,2,0,0,1536,1,1181954,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
18,73,2018-12-16 17:59:57,2018-12-16 17:58:44,32,2,5,True,5,0.8461538461538461,0.8249027237476151,0.38720114636855757,0.9091699261708862,0.33466420907758726,200,MLP,0.5,4,0,8,1536,3,3541250,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
31,33,2018-12-16 15:19:01,2018-12-16 15:18:28,32,2,3,True,5,0.8415841584158416,0.8547633556411103,0.348921088191181,0.9090515374879189,0.3152053686590513,48,MLP,0.5,2,2,8,1536,1,1919042,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
20,30,2018-12-16 15:24:29,2018-12-16 15:23:58,32,2,3,True,5,0.8679867986798679,0.8629900466831578,0.3287470299654464,0.9090515374621048,0.2993111698438513,57,MLP,0.2,2,8,0,1536,1,1328450,inception_resnet_v2,avg,"(303, 1, 1536)","(9846, 2)"
176,231,2018-12-16 20:43:22,2018-12-16 20:39:30,32,2,2,True,10,0.8896321070234113,0.8499897603809944,0.3412164490400659,0.9087353327490878,0.28481782386091575,261,LSTM,0.2,1,0,4,1536,3,18883586,inception_resnet_v2,avg,"(299, 3, 1536)","(9766, 2)"
